,magnitude,depth
310,4.6,258.32
311,4.7,93.71
312,5.2,21.61
313,4.2,13.22
314,3.28,14.67
315,4.9,10.0
316,4.4,76.18
317,4.6,10.0
318,5.0,10.0
319,4.4,49.46
320,2.85,7.5
321,5.1,10.0
322,2.82,7.48
323,6.0,115.69
324,4.3,10.0
325,5.5,10.0
326,4.7,10.0
327,4.6,10.0
328,5.1,10.0
329,4.7,148.0
330,4.3,121.24
331,5.3,10.0
332,4.0,10.0
